p_CRC,0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.13119430546639413,0.24972087670983525,0.12372112518572445,0.2013558028266999,0.16267303012465398,0.22986607454149713,0.2746434801698671,0.36837925443937286,0.1875836180019188,0.542215518550868
0.011,0.0,0.18126529564447663,0.3455915918860091,0.17420739877038438,0.28447840815058545,0.22936412277037577,0.32277467189883424,0.38269938873515685,0.5107420748306236,0.2625279720986452,0.7158471248962087
0.020999999999999998,0.0,0.1982747786239603,0.37869476781596345,0.19374550073134078,0.3174276805875359,0.25542788855554843,0.3581329654873542,0.42180610374083694,0.5607943826249451,0.29038693468367266,0.7619075119325172
0.030999999999999996,0.0,0.20856223452997869,0.3990882016722779,0.20683428045886817,0.33996805287176435,0.27304153901645706,0.38156277647108383,0.4467802093597521,0.5922490200711095,0.3084878347289849,0.7868102221464944
0.040999999999999995,0.0,0.2156639144084308,0.4134709517962212,0.21674695462755666,0.3573932508734202,0.2864978792495942,0.3991690824706674,0.464969054734043,0.6149347637115435,0.32183787366602434,0.8029755614689638
0.05099999999999999,0.0,0.22088670798058863,0.4243119355282664,0.22470537723092449,0.3716745510713352,0.2973977056647746,0.413228413146023,0.47909914455294944,0.6324629018877792,0.332305008941095,0.8144929855232039
0.060999999999999985,0.0,0.2248703727819678,0.4328169455012852,0.23131829178512137,0.38379222853873096,0.3065378825869356,0.4248717936868657,0.4905139986735895,0.6465927639276958,0.3408166404434936,0.8231821722039739
0.071,0.0,0.22797803458712762,0.43966914341515195,0.23693896319312896,0.3943143667807507,0.3143805307260425,0.43475287658597256,0.49998224591174023,0.6583192655224483,0.3479079496752164,0.8299970330349106
0.08099999999999999,0.0,0.2304359544822706,0.44529363756369195,0.24179304811372287,0.40360350073695395,0.3212206846416091,0.4432870779037177,0.5079869382404472,0.6682607189180401,0.3539183695390362,0.8354934360642787
0.09099999999999998,0.0,0.23239455129061895,0.44997279265851614,0.2460345668468002,0.4119069406168694,0.3272596384017661,0.45075630643094,0.5148520781800953,0.6768275157107768,0.3590776866799016,0.840020429775287
0.10099999999999998,0.0,0.23395872963836917,0.4539034400022432,0.2497738779708416,0.4194018548401698,0.33264158347992634,0.45736130436242134,0.5208056746089826,0.6843056599900095,0.3635490865561658,0.8438097863659213
0.11099999999999997,0.0,0.23520440776867552,0.45722800504778127,0.2530930480908772,0.42622000828014517,0.33747372773903983,0.4632503862926456,0.5260142266473511,0.6909021395308917,0.36745278781277224,0.8470222418804781
0.12099999999999998,0.0,0.23618817072053144,0.4600526611004876,0.2560549203488584,0.4324623415466672,0.34183816026647235,0.4685363761011805,0.5306029460985577,0.69677134568279,0.37087996619983987,0.8497732192058534
0.13099999999999998,0.0,0.23695322216084436,0.46245850777004077,0.2587087720114689,0.438208057070026,0.34579925011592494,0.4733071557279739,0.5346682815921591,0.702031320013487,0.37390142158255785,0.8521480031668371
0.141,0.0,0.2375332177352697,0.46450876245439193,0.2610940061255208,0.4435205423623203,0.3494084720450331,0.4776325337591557,0.5382860231344873,0.7067741943485497,0.3765732165823471,0.8542111299621329
0.151,0.0,0.23795482437809248,0.4662535570492827,0.2632426509786916,0.4484513771170285,0.35270767254640206,0.48156888410090787,0.5415167396911003,0.7110731475984833,0.37894048072109293,0.8560124309434723
0.16099999999999998,0.0,0.2382394813905428,0.4677332359317777,0.26518110550550583,0.4530431294444801,0.35573134975545695,0.4851623759225705,0.5444095396786766,0.7149871852195971,0.38104005614307457,0.8575910547210938
0.17099999999999999,0.0,0.23840464384278712,0.4689806829544126,0.2669313905570117,0.4573313592819475,0.3585082873810651,0.48845128185076353,0.5470047396000653,0.7185645094647257,0.3829023858257079,0.8589782212854395
0.181,0.0,0.23846468019756828,0.4700230004503071,0.2685120664137418,0.4613460867083528,0.3610627524690747,0.4914676647150342,0.5493358004481617,0.7218449500458755,0.3845528914550602,0.8601991550195571
0.19099999999999998,0.0,0.23843153300101635,0.4708827445694841,0.26993891889725463,0.465112889517928,0.3634153908561094,0.49423863432975573,0.5514307603030546,0.7248617519738281,0.38601299852383403,0.8612744710131985
0.20099999999999998,0.0,0.23831521355663043,0.4715788499459589,0.2712254813429377,0.4686537379773528,0.3655839082495468,0.49678730000380655,0.5533133124339056,0.7276429135715414,0.38730091202612704,0.862221188407409
0.21099999999999997,0.0,0.23812417795643964,0.47212733246994343,0.27238343778234314,0.47198763947778066,0.36758359620155834,0.4991335034029294,0.5550036289872242,0.7302122033760983,0.3884322123085868,0.8630534837474642
0.22099999999999997,0.0,0.23786561682412993,0.47254183074994566,0.27342293860797395,0.4751311431921664,0.36942774383734256,0.5012943900309392,0.5565189988506575,0.7325899437072758,0.3894203189393053,0.863783259583101
0.23099999999999998,0.0,0.23754568130696957,0.4728340284373359,0.2743528507250265,0.4780987399758453,0.3711279640799163,0.5032848602542753,0.5578743276366218,0.7347936219651348,0.3902768561854479,0.8644205794974403
0.24099999999999996,0.0,0.23716966129444655,0.4730139872949115,0.27518095795441955,0.4809031827414288,0.3726944549574425,0.5051179291310084,0.5590825338979895,0.7368383728986216,0.39101194409724593,0.8649740050513232
0.25099999999999995,0.0,0.23674212737350475,0.4730904125239771,0.27591412316548813,0.4835557456701241,0.37413621097849736,0.5068050163045376,0.5601548662371036,0.7387373629644197,0.39163443261862585,0.8654508596755279
0.26099999999999995,0.0,0.23626704493241366,0.4730708660668866,0.27655842061952224,0.48606643582075915,0.3754611956451225,0.5083561816349323,0.5611011593967483,0.7405020995006075,0.392152091554366,0.8658574374473172
